"id";"amount";"created";"currency";"description";"fee";"net";"source";"status";"type"
"txn_1HP3DACmAIcalbBuoKaQEu2e";-249;"2020-09-08T09:33:59Z";"eur";"Curso Webinar 29607";"-2,988";"-246,012";"ch_1HP3D9CmAIcalbBuW28FetBX";"available";"charge"
"txn_1GdKQnCmAIcalbBujKyN2VsU";-249;"2020-04-29T18:14:48Z";"eur";"Curso Webinar 29636";"-2,988";"-246,012";"ch_1GdKQmCmAIcalbBuiknT6TLZ";"available";"charge"
"txn_1GdKPnCmAIcalbBuBEPauEk5";-149;"2020-04-29T18:13:46Z";"eur";"Curso Webinar 29701";"-1,788";"-147,212";"ch_1GdKPmCmAIcalbBuUzgcjufC";"available";"charge"
"txn_1GdKPPCmAIcalbBuiOmA64IW";-249;"2020-04-29T18:13:22Z";"eur";"Curso Webinar 29719";"-2,988";"-246,012";"ch_1GdKPOCmAIcalbBua35J6c0X";"available";"charge"
"txn_1GdKqHCmAIcalbBuQ2SdsMeJ";-199;"2020-04-29T18:41:08Z";"eur";"Curso Webinar 29778";"-2,388";"-196,612";"ch_1GdKqGCmAIcalbBuNS408Alt";"available";"charge"
"txn_1HADleCmAIcalbBuPqml08OM";-199;"2020-07-29T11:48:17Z";"eur";"Curso Webinar 29794";"-2,388";"-196,612";"ch_1HADldCmAIcalbBueuUJCpUO";"available";"charge"
"txn_1GdKxlCmAIcalbBuq2PZc4JT";-199;"2020-04-29T18:48:52Z";"eur";"Curso Webinar 29847";"-2,388";"-196,612";"ch_1GdKxkCmAIcalbBuczbwTGnZ";"available";"charge"
"txn_1GdLYBCmAIcalbBuUcveXx10";-249;"2020-04-29T19:26:30Z";"eur";"Curso Webinar 29848";"-2,988";"-246,012";"ch_1GdLYACmAIcalbBuFLNBnHoB";"available";"charge"
"txn_1GdKRuCmAIcalbBukgNyl2qz";-199;"2020-04-29T18:15:56Z";"eur";"Curso Webinar 29975";"-2,388";"-196,612";"ch_1GdKRsCmAIcalbBuh3E2UZGI";"available";"charge"
"txn_1GdKP0CmAIcalbBu5v2c8Xh4";-199;"2020-04-29T18:12:57Z";"eur";"Curso Webinar 30048";"-2,388";"-196,612";"ch_1GdKOzCmAIcalbBuES88Zo2f";"available";"charge"
"txn_1HCWD1CmAIcalbBu6sIarWMQ";-249;"2020-08-04T19:54:01Z";"eur";"Curso Webinar 30191";"-2,988";"-246,012";"ch_1HCWCzCmAIcalbBuG79pUBzR";"available";"charge"
"txn_1GdKVvCmAIcalbBuUudWkW3C";-199;"2020-04-29T18:20:06Z";"eur";"Curso Webinar 30207";"-2,388";"-196,612";"ch_1GdKVuCmAIcalbBupr3hGxKQ";"available";"charge"
"txn_1IwVHyCmAIcalbBu4C1g9gQk";-199;"2021-05-29T16:45:29Z";"eur";"Curso 30222";"-2,388";"-196,612";"ch_1IwVHxCmAIcalbBubngEsiXx";"available";"charge"
"txn_1IwTKQCmAIcalbBuVa33sG9V";-199;"2021-05-29T14:39:53Z";"eur";"Curso 30257";"-2,388";"-196,612";"ch_1IwTKPCmAIcalbBufUHN0HJm";"available";"charge"
"txn_1IwTNkCmAIcalbBu4fiSvUZL";-199;"2021-05-29T14:43:20Z";"eur";"Curso 30259";"-2,388";"-196,612";"re_1IwTNkCmAIcalbBuXOUj4aKB";"available";"refund"
"txn_1IT7gACmAIcalbBu993XWYB6";-199;"2021-03-09T15:41:00Z";"eur";"Curso 30260";"-2,388";"-196,612";"ch_1IT7g8CmAIcalbBubtxK0icu";"available";"charge"
"txn_1IT9iGCmAIcalbBu6lDzSqW7";-249;"2021-03-09T17:51:18Z";"eur";"Curso 30264";"-2,988";"-246,012";"ch_1IT9iECmAIcalbBuQ0Axsylk";"available";"charge"
"txn_1IT7eOCmAIcalbBuSiTMc2fu";-249;"2021-03-09T15:39:10Z";"eur";"Curso 30268";"-2,988";"-246,012";"ch_1IT7eMCmAIcalbBuWC3K4Ck5";"available";"charge"
"txn_1IT7c1CmAIcalbBu8kJftLaS";-129;"2021-03-09T15:36:42Z";"eur";"Curso 30306";"-1,548";"-127,452";"ch_1IT7byCmAIcalbBu54d64eUT";"available";"charge"
"txn_1HUFXHCmAIcalbBubE1N6hxE";-199;"2020-09-22T17:44:13Z";"eur";"Curso 30324";"-2,388";"-196,612";"ch_1HUFXFCmAIcalbBudozApP3M";"available";"charge"
"txn_1IMOf3CmAIcalbBu5A3WrA5Q";-249;"2021-02-19T02:24:04Z";"eur";"Curso 30334";"-2,988";"-246,012";"ch_1IMOf2CmAIcalbBurULPjqcE";"available";"charge"
"txn_1IMOU3CmAIcalbBufDly5MiH";-199;"2021-02-19T02:12:42Z";"eur";"Curso 30343";"-2,388";"-196,612";"ch_1IMOU2CmAIcalbBuaFULT5P2";"available";"charge"
"txn_1IMOo8CmAIcalbBu8uwfN5m2";-179;"2021-02-19T02:33:26Z";"eur";"Curso 30348";"-2,148";"-176,852";"ch_1IMOo6CmAIcalbBuPjeheUte";"available";"charge"
"txn_1IMOcJCmAIcalbBu8kHcEKjH";-249;"2021-02-19T02:21:13Z";"eur";"Curso 30350";"-2,988";"-246,012";"ch_1IMOcHCmAIcalbBuorYxZysZ";"available";"charge"
"txn_1IMOfrCmAIcalbBuz7zc7KJ5";-249;"2021-02-19T02:24:54Z";"eur";"Curso 30351";"-2,988";"-246,012";"ch_1IMOfqCmAIcalbBu6mcbPFLo";"available";"charge"
"txn_1IMObRCmAIcalbBukgn3HZl5";-129;"2021-02-19T02:20:18Z";"eur";"Curso 30352";"-1,548";"-127,452";"ch_1IMObOCmAIcalbBuZiJfE96E";"available";"charge"
"txn_1IMOk0CmAIcalbBusJ1rGvtE";-249;"2021-02-19T02:29:11Z";"eur";"Curso 30363";"-2,988";"-246,012";"ch_1IMOjzCmAIcalbBu24FwIQvl";"available";"charge"
"txn_1IMOdpCmAIcalbBu2zj0Y7qq";-249;"2021-02-19T02:22:48Z";"eur";"Curso 30372";"-2,988";"-246,012";"ch_1IMOdoCmAIcalbBuroVtoMkZ";"available";"charge"
"txn_1IMOlLCmAIcalbBuzqHvju1L";-249;"2021-02-19T02:30:33Z";"eur";"Curso 30377";"-2,988";"-246,012";"ch_1IMOlJCmAIcalbBu3grN3gWh";"available";"charge"
"txn_1HtKUFCmAIcalbBuqbQEba6i";-229;"2020-11-30T22:04:46Z";"eur";"Curso 30378";"-2,748";"-226,252";"ch_1HtKUECmAIcalbBuVTiomyBx";"available";"charge"
