"numero_de_pedido";"estado_de_pedido";"fecha_de_pedido";"id cliente";"titulo_metodo_de_pago";"importe_de_descuento_del_carrito";"importe_subtotal_carrito";"importe_envio_pedido";"importe_reembolsado_pedido";"importe_total_pedido";"importe_total_de_impuestos_del_pedido";"sku";"articulo_numero";"nombre_del_articulo";"cantidad";"coste_articulo";"cupon_articulo";"importe_descuento";"importe_impuestos_descuento"
42706;"Completado";"2022-02-02 20:51";926;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42709;"Completado";"2022-02-02 21:42";859;"Stripe";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42710;"Completado";"2022-02-02 22:36";933;"Stripe";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42711;"Completado";"2022-02-02 23:05";4564;"Stripe";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42715;"Completado";"2022-02-03 8:28";1131;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42746;"Completado";"2022-02-03 11:39";4352;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42749;"Procesando";"2022-02-03 12:24";4294;"Visa ending in 9881";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42762;"Procesando";"2022-02-03 15:16";4063;"Visa ending in 4185";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42763;"Completado";"2022-02-03 17:54";665;"Pago con tarjeta";0.0;189.0;0;0;189;0.0;"001-3";1;"Aprende Python desde cero";1;249.0;"";"";""
42764;"Procesando";"2022-02-03 18:35";598;"MasterCard ending in 8513";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42765;"Completado";"2022-02-03 18:55";2812;"Stripe";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42766;"Completado";"2022-02-03 19:43";2713;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
